'BOUT	B AW T
'BOVE	B OW V
'CAUSE	K AH Z
'CROSS	K R AA S
'EM	AH M
'LAC	L AE K
'ROUND	R AW N D
'TIL	T IH L
A	AH
A(2)	EY
ABATES	AH B EY T S
ABORD	AE B AH R D
ABOUT	AH B AW T
ABOVE	AH B AH V
ABSENCE	AE B S AH N S
ABSOLVE	AH B Z AA L V
ABSOLVE(2)	AE B Z AA L V
ABYSMAL	AH B IH Z M AH L
ACCENT	AH K S EH N T
ACCENT(2)	AE K S EH N T
ACCEPT	AE K S EH P T
ACCEPT(2)	AH K S EH P T
ACCORDION	AH K AO R D IY AH N
ACES	EY S IH Z
ACHEE	AH CH IY
ACHING	EY K IH NG
ACROSS	AH K R AO S
ACT	AE K T
ACTED	AE K T IH D
ACTING	AE K T IH NG
ACTOR	AE K T ER
ACTORS	AE K T ER Z
ACTUAL	AE K CH AH W AH L
ACTUAL(2)	AE K SH AH L
ACTUALLY	AE K CH UW AH L IY
ACTUALLY(2)	AE K CH L IY
ACTUALLY(3)	AE K SH AH L IY
ADDICTION	AH D IH K SH AH N
ADDRESS	AE D R EH S
ADE	EY D
ADMIRING	AE D M AY R IH NG
ADMIT	AH D M IH T
ADORE	AH D AO R
ADVANTAGE	AE D V AE N T IH JH
ADVISE	AE D V AY Z
ADVISE(2)	AH D V AY Z
AE	EY
AFRAID	AH F R EY D
AFTER	AE F T ER
AGAIN	AH G EH N
AGAIN(2)	AH G EY N
AGAINST	AH G EH N S T
AGAINST(2)	AH G EY N S T
AGE	EY JH
AGES	EY JH IH Z
AGNIZE	AE G N AY Z
AGO	AH G OW
AGREE	AH G R IY
AH	AA
AHA	AA HH AA
AHEAD	AH HH EH D
AIM	EY M
AIN'T	EY N T
AIR	EH R
AIRLINES	EH R L AY N Z
ALARM	AH L AA R M
ALI	AA L IY
ALIGHT	AH L AY T
ALIKENESS	AH L AY K N AH S
ALIVE	AH L AY V
ALL	AO L
ALLAY	AH L EY
ALLEVIATED	AH L IY V IY EY T IH D
ALLEY	AE L IY
ALLOW	AH L AW
ALMOST	AO L M OW S T
ALONE	AH L OW N
ALONG	AH L AO NG
ALREADY	AO L R EH D IY
ALREADY(2)	AO R EH D IY
ALRIGHT	AO L R AY T
ALSO	AO L S OW
ALTER	AO L T ER
ALWAYS	AO L W EY Z
ALWAYS(2)	AO L W IY Z
AM	AE M
AM(2)	EY EH M
AMBITION	AE M B IH SH AH N
AMBITIOUS	AE M B IH SH AH S
AMBLE	AE M B AH L
AMERICAN	AH M EH R IH K AH N
AMID	AH M IH D
AMOUNTS	AH M AW N T S
AMSTERDAM	AE M S T ER D AE M
AMUCK	AH M AH K
AN	AE N
AN(2)	AH N
ANCHOR	AE NG K ER
AND	AH N D
AND(2)	AE N D
ANGLE	AE NG G AH L
ANIMALS	AE N AH M AH L Z
ANN	AE N
ANNIVERSARY	AE N AH V ER S ER IY
ANOTHER	AH N AH DH ER
ANOTHER'S	AH N AH DH ER Z
ANSWER	AE N S ER
ANSWERS	AE N S ER Z
ANTIC	AE N T IH K
ANY	EH N IY
ANYBODY	EH N IY B AH D IY
ANYMORE	EH N IY M AO R
ANYONE	EH N IY W AH N
ANYTHING	EH N IY TH IH NG
ANYWAY	EH N IY W EY
ANYWHERE	EH N IY W EH R
ANYWHERE(2)	EH N IY HH W EH R
APART	AH P AA R T
APPEAR	AH P IH R
APPLE	AE P AH L
ARCANE	AA R K EY N
ARCH	AA R CH
ARE	AA R
ARE(2)	ER
AREN'T	AA R AH N T
AREN'T(2)	AA R N T
ARIZONA	EH R IH Z OW N AH
ARM	AA R M
ARM'S	AA R M Z
ARMS	AA R M Z
ARMSTRONG	AA R M S T R AA NG
ARMSTRONG(2)	AA R M S T R AO NG
AROUND	ER AW N D
AROUND(2)	ER AW N
ARRANGED	ER EY N JH D
ARREST	ER EH S T
ARRIVED	ER AY V D
ART	AA R T
ARTISTS	AA R T IH S T S
AS	AE Z
AS(2)	EH Z
ASH	AE SH
ASHAMED	AH SH EY M D
ASHES	AE SH IH Z
ASHORE	AH SH AO R
ASK	AE S K
ASKED	AE S K T
ASKED(2)	AE S T
ASKING	AE S K IH NG
ASKS	AE S K S
ASLEEP	AH S L IY P
ASPHALT	AE S F AO L T
ASPIRING	AH S P AY R IH NG
ASS	AE S
ASSUME	AH S UW M
ASSUMING	AH S UW M IH NG
ASTRAY	AH S T R EY
AT	AE T
ATLANTIC	AH T L AE N T IH K
ATMOSPHERE	AE T M AH S F IH R
ATOMS	AE T AH M Z
ATROPHIED	AE T R AH F IY D
ATTACK	AH T AE K
ATTEMPT	AH T EH M P T
ATTEND	AH T EH N D
ATTIC	AE T IH K
AUDIENCE	AA D IY AH N S
AUDIENCE(2)	AO D IY AH N S
AUDIO	AA D IY OW
AVENGER	AH V EH N JH ER
AW	AO
AWAKE	AH W EY K
AWAKEN	AH W EY K AH N
AWARD	AH W AO R D
AWARE	AH W EH R
AWAY	AH W EY
BA	B AA
BABE	B EY B
BABY	B EY B IY
BABY'S	B EY B IY Z
BABYLON	B AE B AH L AA N
BACK	B AE K
BACK'S	B AE K S
BACKSTAGE	B AE K S T EY JH
BAD	B AE D
BADEN	B EY D AH N
BADLY	B AE D L IY
